name,equipment,primary_muscle,secondary_muscle,video,thumbnail
"Push Up - Close Grip","None","Chest","Triceps, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02591201-Close-Grip-Push-up_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02591201-Close-Grip-Push-up_Upper-Arms_thumbnail@3x.jpg"
"Rack Pull","Barbell","Upper Back","Glutes, Hamstrings, Lower Back, Lats, Traps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00741201-Barbell-Rack-Pull_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00741101-Barbell-Rack-Pull_Hips-FIX_thumbnail@3x.jpg"
"Rear Delt Reverse Fly (Cable)","Machine","Shoulders","Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02251201-Cable-Standing-Cross-over-High-Reverse-Fly_Shoulders_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02251201-Cable-Standing-Cross-over-High-Reverse-Fly_Shoulders_thumbnail_@3x.jpg"
"Rear Delt Reverse Fly (Dumbbell)","Dumbbell","Shoulders","Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/24871201-Dumbbell-Rear-Delt-Fly-(female)_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/24871101-Dumbbell-Rear-Delt-Fly-(female)_Shoulders_small_thumbnail@3x.jpg"
"Rear Delt Reverse Fly (Machine)","Machine","Shoulders","Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06021201-Lever-Seated-Reverse-Fly_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06021201-Lever-Seated-Reverse-Fly_Shoulders_thumbnail@3x.jpg"
"Rear Kick (Machine)","Machine","Glutes","Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/99041201-Lever-Pure-Rear-Kick-(female)_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/99041201-Lever-Pure-Rear-Kick-(female)_Hips_thumbnail_@3x.jpg"
"Renegade Row (Dumbbell)","Dumbbell","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29811201-Dumbbell-Renegade-Row-(female)_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/29811201-Dumbbell-Renegade-Row-(female)_Back_thumbnail_@3x.jpg"
"Reverse Crunch","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08721201-Reverse-Crunch-m_waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08721201-Reverse-Crunch-m_waist_thumbnail@3x.jpg"
"Reverse Curl (Barbell)","Barbell","Biceps","Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00801201-Barbell-Reverse-Curl_Forearm.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00801201-Barbell-Reverse-Curl_Forearm_thumbnail@3x.jpg"
"Reverse Curl (Cable)","Machine","Biceps","Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02061201-Cable-Reverse-Curl_Forearm.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02061201-Cable-Reverse-Curl_Forearm_thumbnail_@3x.jpg"
"Reverse Curl (Dumbbell)","Dumbbell","Biceps","Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03821201-Dumbbell-Revers-grip-Biceps-Curl_Forearms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03821201-Dumbbell-Revers-grip-Biceps-Curl_Forearms_thumbnail@3x.jpg"
"Reverse Fly Single Arm (Cable)","Machine","Shoulders","Upper Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/98681201-Cable-45-degrees-Single-Arm-Reverse-Fly-(male)_Sho.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/98681201-Cable-45-degrees-Single-Arm-Reverse-Fly-(male)_Sho_thumbnail_@3x.jpg"
"Reverse Grip Concentration Curl","Dumbbell","Biceps","Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/04031201-Dumbbell-Seated-Revers-grip-Concentration-Curl_Forearms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/04031201-Dumbbell-Seated-Revers-grip-Concentration-Curl_Forearms_thumbnail_@3x.jpg"
"Reverse Grip Lat Pulldown (Cable)","Machine","Lats","Upper Back, Biceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02081201-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02081201-Cable-Reverse-grip-Straight-Back-Seated-High-Row_Back_thumbnail@3x.jpg"
"Reverse Hyperextension","Machine","Glutes","Hamstrings, Lower Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05931201-Lever-Reverse-Hyperextension-(plate-loaded)_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05931201-Lever-Reverse-Hyperextension-(plate-loaded)_Hips_thumbnail@3x.jpg"
"Reverse Lunge","None","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/63881201-Bodyweight-Reverse-Lunge-(female)_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/63881201-Bodyweight-Reverse-Lunge-(female)_Thighs_thumbnail_@3x.jpg"
"Reverse Lunge (Barbell)","Barbell","Quadriceps","Hamstrings, Glutes","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/22261201-Barbell-Rear-Lunge-(female)_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/22261201-Barbell-Rear-Lunge-(female)_Thighs_thumbnail_@3x.jpg"
"Reverse Lunge (Dumbbell)","Dumbbell","Quadriceps","Glutes, Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03811201-Dumbbell-Rear-Lunge_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03811201-Dumbbell-Rear-Lunge_Thighs_thumbnail@3x.jpg"
"Reverse Plank","None","Abdominals","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08671201-Reverse-plank_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08671201-Reverse-plank_Back_thumbnail@3x.jpg"
"Ring Dips","None","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06771201-Ring-Dip_Upper-Arms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06771201-Ring-Dip_Upper-Arms_thumbnail_@3x.jpg"
"Ring Pull Up","Other","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/55221201-Ring-Pull-Up_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/55221201-Ring-Pull-Up_Back_1_thumbnail_@3x.jpg"
"Ring Push Up","Other","Chest","Shoulders, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08061201-Suspended-Push-Up_Chest_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08061201-Suspended-Push-Up_Chest_thumbnail_@3x.jpg"
"Romanian Deadlift (Barbell)","Barbell","Hamstrings","Glutes, Lower Back, Upper Back, Lats","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00851201-Barbell-Romanian-Deadlift_Hips-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00851201-Barbell-Romanian-Deadlift_Hips-FIX_thumbnail_@3x.jpg"
"Romanian Deadlift (Dumbbell)","Dumbbell","Hamstrings","Glutes, Lower Back, Upper Back, Lats","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/14591201-Dumbbell-Romanian-Deadlift_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/14591201-Dumbbell-Romanian-Deadlift_Hips_thumbnail@3x.jpg"
"Rope Cable Curl","Machine","Biceps","Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01651201-Cable-Hammer-Curl-(with-rope)-(male)_Forearms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01651201-Cable-Hammer-Curl-(with-rope)-(male)_Forearms_thumbnail_@3x.jpg"
"Rope Straight Arm Pulldown","Machine","Lats","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02371201-Cable-Straight-Arm-Pulldown-(with-rope)_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02371201-Cable-Straight-Arm-Pulldown-(with-rope)_Back_thumbnail@3x.jpg"
"Rowing Machine","Machine","Cardio","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/22701201-Rowing-Straight-Back-(with-rowing-machine)-(female)_Cardio.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/22701201-Rowing-Straight-Back-(with-rowing-machine)-(female)_Cardio_thumbnail@3x.jpg"
"Running","None","Cardio","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/21961201-Run-(female)_Cardio.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/21961201-Run-(female)_Cardio_thumbnail@3x.jpg"
"Russian Twist (Bodyweight)","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06871201-Russian-Twist_waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06871201-Russian-Twist_waist_thumbnail@3x.jpg"
"Russian Twist (Weighted)","Plate","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/23711201-Weighted-Russian-Twist_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/23711201-Weighted-Russian-Twist_Waist_thumbnail@3x.jpg"
"Scapular Pull Ups","None","Upper Back","Lats, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06881201-Scapular-Pull-Up_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06881201-Scapular-Pull-Up_Back_thumbnail_@3x.jpg"
"Seated Cable Row - Bar Grip","Machine","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01801201-Cable-Low-Seated-Row_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01801201-Cable-Low-Seated-Row_Back_thumbnail@3x.jpg"
"Seated Cable Row - Bar Wide Grip","Machine","Upper Back","Lats, Traps, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02181201-Cable-Seated-Wide-grip-Row_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02181201-Cable-Seated-Wide-grip-Row_Back_thumbnail@3x.jpg"
"Seated Cable Row - V Grip (Cable)","Machine","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/26611201-Cable-Seated-Row-with-V-bar_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/26611201-Cable-Seated-Row-with-V-bar_Back_thumbnail_@3x.jpg"
"Seated Calf Raise","Machine","Calves","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05941201-Lever-Seated-Calf-Raise-(plate-loaded).mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05941201-Lever-Seated-Calf-Raise-(plate-loaded)_thumbnail@3x.jpg"
"Seated Chest Flys (Cable)","Machine","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/38691201-Cable-Seated-Chest-Fly_Chest_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/38691101-Cable-Seated-Chest-Fly_Chest_small_thumbnail_@3x.jpg"
"Seated Dip Machine","Machine","Triceps","Chest, Shoulders","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/14511201-Lever-Seated-Dip_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/14511201-Lever-Seated-Dip_Upper-Arms_thumbnail@3x.jpg"
"Seated Incline Curl (Dumbbell)","Dumbbell","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03151201-Dumbbell-Incline-Biceps-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03151201-Dumbbell-Incline-Biceps-Curl_Upper-Arms_thumbnail@3x.jpg"
"Seated Lateral Raise (Dumbbell)","Dumbbell","Shoulders","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03961201-Dumbbell-Seated-Lateral-Raise_shoulder.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03961201-Dumbbell-Seated-Lateral-Raise_shoulder_thumbnail@3x.jpg"
"Seated Leg Curl (Machine)","Machine","Hamstrings","Calves","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05991201-Lever-Seated-Leg-Curl_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05991201-Lever-Seated-Leg-Curl_Thighs_thumbnail@3x.jpg"
"Seated Overhead Press (Barbell)","Barbell","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/68771201-Barbell-Incline-Shoulders-Press-(inside-squat-cage.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/68771201-Barbell-Incline-Shoulders-Press-(inside-squat-cage_thumbnail_@3x.jpg"
"Seated Overhead Press (Dumbbell)","Dumbbell","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02901201-Dumbbell-Bench-Seated-Press_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02901201-Dumbbell-Bench-Seated-Press_Shoulders_thumbnail@3x.jpg"
"Seated Palms Up Wrist Curl","Dumbbell","Forearms","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/26331201-Dumbbell-Seated-Palms-Up-Wrist-Curl-(female)_Forea.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/26331201-Dumbbell-Seated-Palms-Up-Wrist-Curl-(female)_Forea_thumbnail_@3x.jpg"
"Seated Row (Machine)","Machine","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/22651201-Lever-Seated-Row-(version-2)_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/22651201-Lever-Seated-Row-(version-2)_Back_thumbnail@3x.jpg"
"Seated Shoulder Press (Machine)","Machine","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/14541201-Lever-Seated-Shoulder-Press_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/14541201-Lever-Seated-Shoulder-Press_Shoulders_thumbnail@3x.jpg"
"Seated Triceps Press","Machine","Triceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/18711201-Lever-Triceps-Dip-(plate-loaded)_Upper-Arms-FIX_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/18711201-Lever-Triceps-Dip-(plate-loaded)_Upper-Arms-FIX_thumbnail_@3x.jpg"
"Seated Wrist Extension (Barbell)","Barbell","Forearms","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00791201-Barbell-Revers-Wrist-Curl-II_Forearms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00791201-Barbell-Revers-Wrist-Curl-II_Forearms_thumbnail@3x.jpg"
"Shoulder Press (Dumbbell)","Dumbbell","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/04051201-Dumbbell-Seated-Shoulder-Press_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/04051201-Dumbbell-Seated-Shoulder-Press_Shoulders_thumbnail@3x.jpg"
"Shoulder Press (Machine Plates)","Machine","Shoulders","Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05871201-Lever-Military-Press-(plate-loaded)_shoulder.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/05871201-Lever-Military-Press-(plate-loaded)_shoulder_thumbnail_@3x.jpg"
"Shoulder Taps","None","Shoulders","Chest, Triceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06991201-Shoulder-Tap-Push-up_Plyometrics.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06991201-Shoulder-Tap-Push-up_Plyometrics_thumbnail@3x.jpg"
"Shrug (Barbell)","Barbell","Traps","Neck","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00951201-Barbell-Shrug_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00951201-Barbell-Shrug_Back_thumbnail@3x.jpg"
"Shrug (Cable)","Machine","Traps","Neck","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02201201-Cable-Shrug_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/02201201-Cable-Shrug_Back_thumbnail@3x.jpg"
"Shrug (Dumbbell)","Dumbbell","Traps","Neck","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/04061201-Dumbbell-Shrug_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/04061201-Dumbbell-Shrug_Back_thumbnail@3x.jpg"
"Shrug (Machine)","Machine","Traps","Neck","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/06041201-Lever-Shrug-(plate-loaded)_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/06041201-Lever-Shrug-(plate-loaded)_Back_thumbnail_@3x.jpg"
"Shrug (Smith Machine)","Machine","Traps","Neck","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07461201-Smith-Back-Shrug_Back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/07461201-Smith-Back-Shrug_Back_thumbnail@3x.jpg"
"Side Bend","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00021201-45-Side-Bend_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00021201-45-Side-Bend_Waist_thumbnail@3x.jpg"
"Side Bend (Dumbbell)","Dumbbell","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/04071201-Dumbbell-Side-Bend_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/04071201-Dumbbell-Side-Bend_Waist_thumbnail@3x.jpg"
"Side Lying External Rotation","Dumbbell","Shoulders","None","None","https://d2l9nsnmtah87f.cloudfront.net/profile-images/ar336-cbc1b643-2436-412e-a8f3-af0f83e064d3.jpg"
"Side Plank","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07151201-Side-Plank-m_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/07151201-Side-Plank-m_Waist_thumbnail@3x.jpg"
"Single Arm Cable Crossover","Machine","Chest","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/62191201-Cable-Standing-Single-Arm-Fly_Chest_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/62191201-Cable-Standing-Single-Arm-Fly_Chest_thumbnail_@3x.jpg"
"Single Arm Cable Row","Machine","Upper Back","Lats, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/75641201-Cable-Split-Stance-Single-Arm-Row-(male)_Back_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/75641201-Cable-Split-Stance-Single-Arm-Row-(male)_Back_thumbnail_@3x.jpg"
"Single Arm Curl (Cable)","Machine","Biceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01901201-Cable-One-Arm-Curl_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01901201-Cable-One-Arm-Curl_Upper-Arms_thumbnail_@3x.jpg"
"Single Arm Landmine Press (Barbell)","Barbell","Shoulders","Triceps, Chest","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/50941201-Landmine-Single-Arm-Press_Shoulders_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/50941201-Landmine-Single-Arm-Press_Shoulders_thumbnail_@3x.jpg"
"Single Arm Lat Pulldown","Machine","Lats","Upper Back, Biceps, Forearms","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/12041201-Cable-one-arm-lat-pulldown_back.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/12041101-Cable-one-arm-lat-pulldown_back_small_thumbnail@3x.jpg"
"Single Arm Lateral Raise (Cable)","Machine","Shoulders","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01921201-Cable-One-Arm-Lateral-Raise_Shoulders.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/01921201-Cable-One-Arm-Lateral-Raise_Shoulders-3_thumbnail_@3x.jpg"
"Single Arm Tricep Extension (Dumbbell)","Dumbbell","Triceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/03621201-Dumbbell-One-Arm-Triceps-Extension-(on-bench)_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/03621201-Dumbbell-One-Arm-Triceps-Extension-(on-bench)_Upper-Arms_thumbnail@3x.jpg"
"Single Arm Triceps Pushdown (Cable)","Machine","Triceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/50331201-Cable-Single-Arm-Triceps-Pushdown-(rope-attachment.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/50331201-Cable-Single-Arm-Triceps-Pushdown-(rope-attachment_thumbnail_@3x.jpg"
"Single Leg Extensions","Machine","Quadriceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/71081201-Lever-Seated-Leg-Extension-(VERSION-2)_Thighs_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/71081201-Lever-Seated-Leg-Extension-(VERSION-2)_Thighs_thumbnail_@3x.jpg"
"Single Leg Glute Bridge","None","Glutes","Hamstrings, Quadriceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/60001201-Single-Leg-Bridge-with-Outstretched-Leg-(left)-(ma.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/60001201-Single-Leg-Bridge-with-Outstretched-Leg-(left)-(ma_thumbnail_@3x.jpg"
"Single Leg Hip Thrust","None","Glutes","Hamstrings, Quadriceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/20711201-Single-Leg%20_Hip-Thrusts_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/20711101-Single-Leg_Hip-Thrusts_Hips_small_thumbnail@3x.jpg"
"Single Leg Hip Thrust (Dumbbell)","Dumbbell","Glutes","Hamstrings, Quadriceps","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/80751201-Dumbbell-Single-Leg-Hip-Thrust_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/47551101-Dumbbell-Single-Leg-Hip-Thrust_Hips_small_thumbnail_@3x.jpg"
"Single Leg Press (Machine)","Machine","Quadriceps","Glutes, Hamstrings","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08831201-Lever-Horizontal-One-leg-Press_Hips.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08831201-Lever-Horizontal-One-leg-Press_Hips_thumbnail@3x.jpg"
"Single Leg Romanian Deadlift (Barbell)","Barbell","Hamstrings","Glutes, Lower Back, Upper Back, Lats","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/17561201-Barbell-Single-Leg-Deadlift_Hips_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/17561201-Barbell-Single-Leg-Deadlift_Hips_thumbnail_@3x.jpg"
"Single Leg Romanian Deadlift (Dumbbell)","Dumbbell","Hamstrings","Glutes, Lower Back","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/97541201-Dumbbell-Single-Leg-Romanian-Deadlift-Leg-Raise-(m.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/97541201-Dumbbell-Single-Leg-Romanian-Deadlift-Leg-Raise-(m_thumbnail_@3x.jpg"
"Single Leg Standing Calf Raise","None","Calves","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/50521201-Single-Leg-Calf-Raise-Off-Step_Calves_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/50521201-Single-Leg-Calf-Raise-Off-Step_Calves_thumbnail_@3x.jpg"
"Single Leg Standing Calf Raise (Barbell)","Barbell","Calves","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/101691201-Barbell-Standing-Single-Leg-Calf-Raise_Calves_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/101691201-Barbell-Standing-Single-Leg-Calf-Raise_Calves_thumbnail_@3x.jpg"
"Single Leg Standing Calf Raise (Dumbbell)","Dumbbell","Calves","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/39731201-Dumbbell-Single-Leg-Calf-Raise-(female)-(VERSION-2)_Calves.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/39731201-Dumbbell-Single-Leg-Calf-Raise-(female)-(VERSION-2)_Calves_thumbnail_@3x.jpg"
"Single Leg Standing Calf Raise (Machine)","Machine","Calves","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/100761201-Lever-Standing-Single-Leg-Calf-Raise_Calves_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/100761201-Lever-Standing-Single-Leg-Calf-Raise_Calves_thumbnail_@3x.jpg"
"Sissy Squat (Weighted)","None","Quadriceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08511201-Weighted-Sissy-Squat_Thighs.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/08511201-Weighted-Sissy-Squat_Thighs_thumbnail@3x.jpg"
"Sit Up","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00011201-3-4-Sit-up_Waist.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00011201-3-4-Sit-up_Waist_thumbnail@3x.jpg"
"Sit Up (Weighted)","None","Abdominals","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/47561201-Dumbbell-Sit-up_Waist_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/47561201-Dumbbell-Sit-up_Waist_thumbnail_@3x.jpg"
"Skating","None","Cardio","None","None","None"
"Skiing","None","Cardio","None","None","None"
"Skullcrusher (Barbell)","Barbell","Triceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00601201-Barbell-Lying-Triceps-Extension-Skull-Crusher_Upper-Arms.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/00601201-Barbell-Lying-Triceps-Extension-Skull-Crusher_Upper-Arms_thumbnail_@3x.jpg"
"Skullcrusher (Dumbbell)","Dumbbell","Triceps","None","https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/22511201-Dumbbell-Lying-Triceps-Extension-(female)_Upper-Arms_.mp4","https://d2l9nsnmtah87f.cloudfront.net/exercise-thumbnails/22511201-Dumbbell-Lying-Triceps-Extension-(female)_Upper-Arms_thumbnail_@3x.jpg"
